layer,site_code,category,n,description
AS18_72,CH_014_LU,25,1,Stations d'épuration des eaux usées
AS18_72,CH_014_LU,26,2,Autres installations d'approvisionnement et d'élimination
AS18_72,CH_014_LU,28,11,Extraction de matériaux
AS18_72,CH_014_LU,29,33,Chantiers
AS18_72,CH_014_LU,30,33,Friches et bâtiments désaffectés
AS18_72,CH_014_LU,31,103,Parcs publics
AS18_72,CH_014_LU,32,95,Installations de sport
AS18_72,CH_014_LU,33,22,Terrains de golf
AS18_72,CH_014_LU,34,5,Terrains de camping
AS18_72,CH_014_LU,35,16,Jardins ouvriers
AS18_72,CH_014_LU,36,13,Cimetières
AS18_72,CH_014_LU,37,5,Plantations fruitières
AS18_72,CH_014_LU,38,107,Arbres fruitiers de plein champ
AS18_72,CH_014_LU,39,12,Vignobles
AS18_72,CH_014_LU,40,23,Horticulture
AS18_72,CH_014_LU,41,118,Terres arables
AS18_72,CH_014_LU,42,1397,Prairies naturelles
AS18_72,CH_014_LU,43,484,Pâturages locaux
AS18_72,CH_014_LU,44,4,Prés et pâturages locaux embroussaillés
AS18_72,CH_014_LU,45,18,Alpages fauchés
AS18_72,CH_014_LU,46,63,Alpages favorables
AS18_72,CH_014_LU,47,4,Alpages embroussaillés
AS18_72,CH_014_LU,48,2,Alpages rocailleux
AS18_72,CH_014_LU,49,34,"Alpes à moutons, foins de rocher"
AS18_72,CH_014_LU,50,1773,Forêt normale
AS18_72,CH_014_LU,51,103,Bande de forêt
AS18_72,CH_014_LU,52,1,Aires afforestées
AS18_72,CH_014_LU,53,145,Coupes de bois
AS18_72,CH_014_LU,54,5,Surfaces forestières dévastées
AS18_72,CH_014_LU,55,13,Forêt clairsemée (sur surfaces agricoles)
AS18_72,CH_014_LU,56,50,Forêt clairsemée (sur surfaces improductives)
AS18_72,CH_014_LU,57,12,Forêt buissonnante
AS18_72,CH_014_LU,58,87,"Bosquets, haies"
AS18_72,CH_014_LU,59,69,Groupes d'arbres (sur surfaces agricoles)
AS18_72,CH_014_LU,60,6,Groupes d’arbres (sur surfaces improductives)
AS18_72,CH_014_LU,61,3436,Lacs
AS18_72,CH_014_LU,62,26,Cours d’eau
AS18_72,CH_014_LU,63,11,Ouvrages de protection contre les crues
AS18_72,CH_014_LU,64,12,"Arbustes, broussailles"
AS18_72,CH_014_LU,65,46,Végétation herbacée improductive
AS18_72,CH_014_LU,67,30,Zones humides
AS18_72,CH_014_LU,69,32,Rochers
AS18_72,CH_014_LU,70,21,"Eboulis, sable"
AS18_72,CH_014_LU,71,1,Interventions dans le paysage
AS18_72,CH_015_VS,1,5,Bâtiments industriels et artisanaux
AS18_72,CH_015_VS,2,18,Terrains attenants aux bâtiments industriels et artisanaux
AS18_72,CH_015_VS,3,40,Maisons individuelles et maisons de deux logements
AS18_72,CH_015_VS,4,170,Terrains attenants aux maisons individuelles et aux maisons de deux logements
AS18_72,CH_015_VS,5,1,Maisons alignées et en terrasses
AS18_72,CH_015_VS,7,22,Immeubles résidentiels
AS18_72,CH_015_VS,8,60,Terrains attenants aux immeubles résidentiels
AS18_72,CH_015_VS,9,8,Bâtiments publics
AS18_72,CH_015_VS,10,5,Terrains attenants aux bâtiments publics
AS18_72,CH_015_VS,11,10,Bâtiments agricoles
AS18_72,CH_015_VS,12,19,Terrains attenants aux bâtiments agricoles
AS18_72,CH_015_VS,13,20,Bâtiments non déterminés
AS18_72,CH_015_VS,14,20,Terrains attenants aux bâtiments non déterminés
AS18_72,CH_015_VS,17,184,"Routes, chemins"
AS18_72,CH_015_VS,18,26,Bordures de routes
AS18_72,CH_015_VS,19,19,Aires de parc de stationnement
AS18_72,CH_015_VS,20,47,Aires ferroviaires stabilisées
AS18_72,CH_015_VS,21,1,Bordures de voies ferrées
AS18_72,CH_015_VS,24,10,Installations d'approvisionnement en énergie
AS18_72,CH_015_VS,26,3,Autres installations d'approvisionnement et d'élimination
AS18_72,CH_015_VS,27,4,Décharges
AS18_72,CH_015_VS,28,7,Extraction de matériaux
AS18_72,CH_015_VS,29,13,Chantiers
AS18_72,CH_015_VS,30,10,Friches et bâtiments désaffectés
AS18_72,CH_015_VS,31,10,Parcs publics
AS18_72,CH_015_VS,32,14,Installations de sport
AS18_72,CH_015_VS,33,9,Terrains de golf
AS18_72,CH_015_VS,34,1,Terrains de camping
AS18_72,CH_015_VS,35,5,Jardins ouvriers
AS18_72,CH_015_VS,36,1,Cimetières
AS18_72,CH_015_VS,37,1,Plantations fruitières
AS18_72,CH_015_VS,38,22,Arbres fruitiers de plein champ
AS18_72,CH_015_VS,40,1,Horticulture
AS18_72,CH_015_VS,41,28,Terres arables
AS18_72,CH_015_VS,42,640,Prairies naturelles
AS18_72,CH_015_VS,43,153,Pâturages locaux
AS18_72,CH_015_VS,44,20,Prés et pâturages locaux embroussaillés
AS18_72,CH_015_VS,45,208,Alpages fauchés
AS18_72,CH_015_VS,46,1469,Alpages favorables
AS18_72,CH_015_VS,47,347,Alpages embroussaillés
AS18_72,CH_015_VS,48,164,Alpages rocailleux
AS18_72,CH_015_VS,49,275,"Alpes à moutons, foins de rocher"
AS18_72,CH_015_VS,50,3012,Forêt normale
AS18_72,CH_015_VS,51,225,Bande de forêt
AS18_72,CH_015_VS,53,218,Coupes de bois
AS18_72,CH_015_VS,54,28,Surfaces forestières dévastées
AS18_72,CH_015_VS,55,143,Forêt clairsemée (sur surfaces agricoles)
AS18_72,CH_015_VS,56,940,Forêt clairsemée (sur surfaces improductives)
